name,file,result,python_modules,duration,passed
0d9745f39a034758e51e,output_data_2.7.yml,OtherPass,matplotlib;numpy;pandas;quandl;requests;scikit-learn;scipy;statsmodels,570.600,3
0d9f91f789f0c523b0e7,output_data_2.7.yml,OtherPass,,22.030,3
0cdd8d6adb8463961f50bd1845faddf8,output_data_3.7.yml,None,torch,153.876,3
0db858e055cc2bae953b435f5116aaa8,output_data_2.7.yml,None,pbkdf2;pycryptodome,38.017,3
0e7d366d2e3623c5bb95,output_data_3.7.yml,OtherPass,,48.499,3
0db840f27f1f0fd0747f13ab80d0ca37,output_data_2.7.yml,OtherPass,numpy;opencv-python;requests,43.408,3
0ec0c3f5ca69bac2b625,output_data_2.7.yml,None,gevent;requests;scrapy,42.190,3
0efb4d07f28af1c8fc1b,output_data_2.7.yml,OtherPass,markdown2;python-editor,71.515,3
0efb90d998c59d5926ca7f4e79054361,output_data_3.7.yml,OtherPass,,76.159,3
0efcacfb43827ba3a6bac3356315c419,output_data_2.7.yml,OtherPass,numpy;opencv-python,181.108,3
0ee6dd444994fd67f63b,output_data_2.7.yml,OtherPass,numpy;opencv-python;scikit-image,78.733,3
0f575a0891cfef5f1b0024c89dcbaeea,output_data_2.7.yml,OtherPass,,12.887,3
0f450e738bf79c003253,output_data_3.6.yml,OtherPass,kivy;pyjnius,36.130,3
0f87efc363309e99d600e3a6300fbcff,output_data_3.7.yml,OtherPass,,23.108,3
10005117,output_data_2.7.yml,OtherPass,cython;word2vec,104.655,3
10010307,output_data_2.7.yml,OtherPass,,16.719,3
0f5f65ddbfa278713f58,output_data_2.7.yml,ImportError,biopython,72.955,0
10011921,output_data_3.6.yml,OtherPass,google-api-python-client;httplib2;jinja2;oauth2client;webapp2,256.297,3
10023837,output_data_3.7.yml,OtherPass,scene;sound,43.647,3
000eccf3d66540d75def,output_data_3.7.yml,None,,43.254,3
00056d4304c58a035c87cdf5ff1e5e3e,output_data_2.7.yml,None,peewee;scrapy,37.203,3
00135b0dfee0ae165ad2,output_data_3.6.yml,OtherPass,,0.512,3
005bbad123ef309a5bef,output_data_2.7.yml,OtherPass,mysqlclient;python-memcached;redis;requests;sqlalchemy,189.677,3
00a17b1d374dfc267a9a,output_data_2.7.yml,OtherPass,numpy;pandas;pymc3;scipy;theano,242.217,3
00a4835bf36513ca58a3,output_data_2.7.yml,OtherPass,,29.073,3
005ceac0483fc5a581cc,output_data_2.7.yml,ImportError,Pillow;numpy;tensorflow,554.585,0
011004bcac763eaf6f28,output_data_3.7.yml,OtherPass,python-xmp-toolkit,58.013,3
